episode,step,episode_return,epsilon,loss,assign_actions,charge_actions,noop_actions,charge_open_steps,train_updates
272,18398,-486.82900000000006,0.5630474999999999,11.79286003112793,46,8,15,67,4350
273,18473,-72.13200000000003,0.5612662500000001,8.457961082458496,45,9,21,71,4369
274,18568,-531.8170000000001,0.55901,8.743833541870117,53,15,27,84,4393
275,18650,-353.987,0.5570625,13.254779815673828,56,10,16,77,4413
276,18719,-773.9,0.5554237500000001,10.434869766235352,45,10,14,64,4430
277,18780,-176.93700000000007,0.5539750000000001,11.31751537322998,42,5,14,57,4446
278,18835,-83.67400000000004,0.55266875,9.686203002929688,35,6,14,54,4459
279,18902,-400.393,0.5510775,8.829891204833984,46,6,15,61,4476
280,18977,-454.98400000000004,0.54929625,12.105817794799805,48,7,20,70,4495
281,19045,-131.56200000000007,0.54768125,14.57611083984375,45,12,11,62,4512
282,19120,-432.91700000000003,0.5459,15.836671829223633,47,13,15,71,4531
283,19167,-108.578,0.54478375,12.294984817504883,35,3,9,46,4542
284,19214,-129.15800000000002,0.5436675,9.56013298034668,39,4,4,44,4554
285,19279,-161.49900000000008,0.54212375,17.682804107666016,43,8,14,60,4570
286,19344,-221.69300000000004,0.5405800000000001,11.091998100280762,44,7,14,62,4587
287,19406,-206.21199999999993,0.5391075000000001,9.426703453063965,46,9,7,59,4602
288,19462,-140.49000000000012,0.5377775,10.496981620788574,37,6,13,54,4616
289,19520,-357.78300000000024,0.5364,10.49264907836914,41,3,14,56,4631
290,19580,-217.83599999999996,0.534975,15.818102836608887,45,5,10,57,4646
291,19659,-327.2560000000002,0.53309875,8.7731351852417,51,10,18,76,4665
292,19714,-213.65899999999996,0.5317925,12.779294967651367,35,5,15,53,4679
293,19791,-857.621,0.5299637500000001,10.648506164550781,48,8,21,71,4698
294,19866,-722.2550000000001,0.5281825,11.40381145477295,53,10,12,72,4717
295,19923,-251.651,0.52682875,12.752457618713379,40,4,13,55,4731
296,19994,-491.905,0.5251425000000001,17.188583374023438,48,6,17,68,4749
297,20077,-605.2550000000001,0.5231712500000001,12.275575637817383,51,11,21,78,4770
298,20125,-39.843999999999994,0.52203125,8.460453987121582,39,3,6,47,4782
299,20190,-316.16700000000003,0.5204875,12.330580711364746,43,6,16,61,4798
300,20238,-286.211,0.5193475000000001,14.943730354309082,36,5,7,45,4810
301,20308,-141.282,0.517685,13.962937355041504,46,8,16,66,4828
302,20364,-322.51,0.516355,10.39460277557373,43,7,6,52,4842
303,20426,-236.28599999999997,0.5148824999999999,10.181888580322266,41,6,15,61,4857
304,20467,-168.138,0.51390875,14.030838966369629,32,4,5,41,4867
305,20515,-119.25800000000002,0.51276875,10.484169006347656,37,5,6,48,4879
306,20573,-287.68499999999995,0.51139125,7.330310821533203,40,3,15,57,4894
307,20634,-364.08200000000005,0.5099425,8.554296493530273,47,9,5,54,4909
308,20684,-409.20899999999995,0.5087550000000001,12.812495231628418,37,5,8,48,4922
309,20767,-208.76899999999995,0.50678375,8.538087844848633,55,13,15,75,4942
310,20839,-537.7330000000002,0.50507375,12.770023345947266,44,12,16,65,4960
311,20893,71.83999999999992,0.5037912499999999,7.568312644958496,40,4,10,54,4974
312,20989,-397.774,0.5015112500000001,10.218578338623047,55,20,21,88,4998
313,21049,-696.9639999999997,0.50008625,12.349089622497559,41,2,17,58,5013
314,21108,-502.77700000000004,0.49868500000000004,11.597001075744629,38,7,14,54,5028
315,21179,-487.4140000000001,0.49699875000000004,12.157302856445312,47,8,16,68,5045
316,21252,-185.70300000000015,0.49526500000000007,8.680853843688965,47,7,19,67,5064
317,21314,-737.7950000000001,0.49379249999999997,17.30498695373535,43,8,11,57,5079
318,21367,-229.75100000000006,0.4925337500000001,13.914838790893555,39,6,8,49,5092
319,21417,-196.21299999999994,0.49134625,10.357508659362793,38,3,9,49,5105
320,21475,-266.1139999999999,0.48996875000000006,14.354609489440918,43,5,10,54,5119
321,21537,-350.00800000000015,0.48849624999999997,15.63839340209961,41,6,15,58,5135
322,21602,-115.64800000000001,0.4869525,13.136581420898438,43,8,14,62,5151
323,21654,-169.252,0.4857175,12.886279106140137,37,6,9,48,5164
324,21713,-66.00899999999999,0.48431625,14.718994140625,40,8,11,55,5179
325,21774,-290.653,0.4828675,11.243855476379395,42,4,15,57,5194
326,21820,-460.47400000000005,0.48177500000000006,9.780308723449707,35,5,6,43,5206
327,21857,-89.83300000000003,0.48089625,6.475666046142578,31,2,4,36,5215
328,21938,21.06899999999986,0.4789725,17.334699630737305,56,15,10,75,5235
329,22007,-200.5640000000002,0.47733375,19.704687118530273,50,6,13,65,5252
330,22057,-124.21399999999998,0.47614625,11.877809524536133,38,4,8,47,5265
331,22110,-300.725,0.4748875,14.578506469726562,38,5,10,51,5278
332,22167,-310.366,0.4735337500000001,16.377986907958984,42,6,9,54,5292
333,22227,-526.9470000000001,0.47210874999999997,10.742999076843262,39,3,18,58,5307
334,22289,-152.99500000000012,0.4706362500000001,15.757401466369629,40,6,16,58,5323
335,22338,-317.01099999999997,0.46947250000000007,13.966045379638672,35,1,13,48,5335
336,22394,-334.458,0.4681425,11.661505699157715,38,3,15,54,5349
337,22456,-559.1980000000001,0.46667000000000003,11.312792778015137,42,2,18,60,5365
338,22538,-372.84599999999983,0.46472250000000004,19.426164627075195,53,11,18,76,5385
339,22606,-32.89299999999997,0.4631075,10.895432472229004,47,7,14,64,5402
340,22677,-151.087,0.46142125,15.097199440002441,45,7,19,66,5420
341,22729,-63.570999999999955,0.46018625,11.992877960205078,38,3,11,52,5433
342,22785,-535.2610000000001,0.45885624999999997,15.590245246887207,41,7,8,50,5447
343,22857,52.24400000000006,0.4571462500000001,16.849390029907227,48,10,14,70,5465
344,22907,-170.42799999999994,0.45595874999999997,14.644508361816406,36,10,4,45,5477
345,22997,-318.3430000000002,0.45382124999999995,12.060564041137695,51,7,32,86,5500
346,23061,-331.619,0.4523012500000001,10.2831449508667,41,8,15,62,5516
347,23122,-200.025,0.4508525000000001,13.085689544677734,42,10,9,58,5531
348,23173,-343.619,0.44964125,13.6251802444458,42,3,6,48,5544
349,23241,-413.506,0.44802624999999996,9.762935638427734,41,6,21,65,5561
350,23303,-522.146,0.4465537500000001,14.140626907348633,41,6,15,59,5576
351,23356,-169.094,0.445295,12.215547561645508,35,9,9,52,5590
352,23417,-653.4969999999998,0.44384625,18.471588134765625,40,6,15,56,5605
353,23470,-365.248,0.4425875,12.239452362060547,39,5,9,49,5618
354,23548,17.835999999999956,0.440735,13.619270324707031,52,8,18,71,5638
355,23623,-428.60599999999994,0.43895375000000003,15.495875358581543,48,7,20,69,5656
356,23684,-155.51999999999992,0.43750500000000003,10.619645118713379,46,5,10,57,5672
357,23723,-93.11000000000008,0.43657875,7.509581565856934,33,2,4,38,5681
358,23806,-1125.3079999999998,0.43460750000000004,9.818803787231445,51,8,24,78,5702
359,23867,-461.6120000000001,0.43315875000000004,13.379459381103516,39,6,16,56,5717
360,23952,-1062.6209999999999,0.4311400000000001,12.852828979492188,53,9,23,79,5739
