episode,step,episode_return,cost_per_order,delivered,dropped,epsilon,loss,assign_actions,charge_actions,noop_actions,charge_open_steps,train_updates
86,6236,-289.092,24.300733333333326,30,21,0.851895,3.417543649673462,40,12,7,54,1309
87,6292,-335.071,25.806483870967735,31,26,0.850565,2.6786763668060303,40,9,7,52,1323
88,6375,-134.22600000000017,17.68991666666666,48,29,0.84859375,2.7295796871185303,58,14,11,76,1343
89,6435,-197.45100000000005,20.51032352941176,34,19,0.84716875,2.2618227005004883,43,7,10,57,1358
90,6501,-111.97300000000013,17.730560975609748,41,21,0.84560125,1.8741168975830078,51,13,2,61,1375
91,6590,134.83299999999986,12.021425531914888,47,10,0.8434875,3.2244110107421875,57,16,16,80,1397
92,6652,-548.4010000000001,30.23831428571428,35,43,0.842015,2.5179286003112793,47,9,6,56,1413
93,6701,-41.08300000000004,16.2421724137931,29,4,0.84085125,2.2048606872558594,36,7,6,47,1425
94,6743,-333.54799999999994,28.89616666666666,24,19,0.8398537500000001,3.2073452472686768,34,4,4,41,1435
95,6806,-105.34100000000012,17.368083333333328,36,14,0.8383575,3.0774993896484375,46,8,9,59,1451
96,6882,-426.971,24.568119047619046,42,41,0.8365525,2.456305742263794,52,13,11,68,1470
97,6943,-65.84199999999993,16.637483870967735,31,7,0.83510375,2.150514602661133,40,13,8,54,1485
98,7012,-95.25499999999995,17.240921052631574,38,16,0.833465,3.770055055618286,47,12,10,63,1503
99,7074,-122.09,18.294411764705874,34,14,0.8319925,2.9911751747131348,43,11,8,57,1518
100,7156,-462.44999999999993,25.403720930232552,43,45,0.830045,2.2940618991851807,54,19,9,72,1539
101,7219,-130.709,19.185966666666662,30,11,0.82854875,2.9334869384765625,42,8,13,62,1554
102,7291,-332.22600000000006,22.803649999999994,40,33,0.8268387500000001,2.618880033493042,49,15,8,62,1572
103,7350,-166.46000000000006,20.04387096774193,31,14,0.8254375,2.352942705154419,40,9,10,54,1587
104,7429,-127.40099999999993,17.324340909090903,44,23,0.82356125,2.451671838760376,54,12,13,68,1607
105,7480,-243.15999999999994,22.769999999999996,30,18,0.82235,3.1463775634765625,38,7,6,47,1620
106,7558,-228.84300000000002,19.861622222222216,45,32,0.8204975,2.7550432682037354,56,15,7,68,1639
107,7623,-172.096,19.48502857142857,35,18,0.81895375,2.8506176471710205,44,9,12,60,1655
108,7684,54.35200000000003,13.605333333333329,39,8,0.817505,3.643491744995117,48,9,4,56,1671
109,7758,-6.887999999999977,14.930391304347822,46,18,0.8157475,2.846771001815796,55,10,9,68,1689
110,7819,-145.94500000000002,19.02471428571428,35,17,0.81429875,2.673063278198242,45,8,8,56,1704
111,7885,-23.044000000000068,15.204461538461533,39,12,0.81273125,2.1408095359802246,48,11,7,61,1721
112,7946,-343.0370000000001,24.13451351351351,37,32,0.8112825,2.2917871475219727,46,9,6,58,1736
113,8005,-71.65600000000003,16.850444444444438,36,13,0.80988125,3.5586905479431152,43,12,4,51,1751
114,8047,-296.31499999999994,26.202884615384612,26,18,0.80888375,2.806346893310547,34,4,4,40,1761
115,8123,-102.41900000000001,16.53912765957446,47,24,0.8070787500000001,3.800510883331299,56,12,8,67,1780
116,8201,-24.800999999999917,15.230023809523805,42,15,0.80522625,3.827958106994629,52,12,14,69,1800
117,8262,-138.222,18.883090909090903,33,14,0.8037775,2.7563414573669434,42,11,8,54,1815
118,8322,49.34699999999995,13.445228571428567,35,4,0.8023525,3.12788462638855,43,10,7,57,1830
119,8395,-151.9959999999998,18.56394594594594,37,18,0.8006187499999999,2.9419281482696533,46,14,13,63,1848
120,8474,-36.553000000000054,15.93392307692307,39,14,0.7987425,2.5982000827789307,49,17,13,72,1868
121,8515,-224.51100000000002,23.93670833333333,24,11,0.79776875,1.8253861665725708,32,6,3,40,1878
122,8582,-36.04400000000015,15.945894736842101,38,13,0.7961775,3.655197858810425,50,7,10,63,1895
123,8658,-199.8099999999999,20.268888888888885,36,21,0.7943725,3.40848970413208,45,18,13,65,1914
124,8706,-228.61600000000004,23.4654074074074,27,15,0.7932325,2.6294007301330566,35,8,5,46,1926
125,8765,-395.1650000000001,27.744354838709672,31,30,0.79183125,2.9369301795959473,39,11,9,52,1941
126,8834,-145.61199999999997,18.60338461538461,39,21,0.7901925000000001,1.9002327919006348,47,14,8,63,1958
127,8901,-242.856,21.46544444444444,36,24,0.78860125,3.2253522872924805,45,12,10,58,1975
128,8977,50.39399999999978,13.57643478260869,46,14,0.78679625,3.173558473587036,55,12,9,68,1994
129,9032,-64.36299999999997,16.948272727272723,33,10,0.78549,1.8703255653381348,41,7,7,51,2008
130,9117,-587.9190000000001,27.854860465116275,43,52,0.7834712500000001,2.132369041442871,52,17,16,77,2029
131,9185,-42.41099999999998,15.957205128205123,39,14,0.78185625,3.0440311431884766,48,12,8,63,2046
132,9250,-127.17600000000002,18.100634146341456,41,22,0.7803125,2.9320271015167236,50,10,5,61,2062
133,9326,-172.23499999999996,18.912159090909086,44,28,0.7785075,2.9525835514068604,54,12,10,66,2081
134,9382,-346.39099999999996,25.19215151515151,33,28,0.7771775,2.0439767837524414,43,8,5,51,2095
135,9452,-690.6300000000001,32.193076923076916,39,56,0.775515,2.678929567337036,50,10,10,63,2113
136,9530,139.53899999999987,11.402581395348832,43,5,0.7736625,2.3792355060577393,51,12,15,71,2132
137,9613,-11.66000000000001,15.155476190476184,42,15,0.7716912499999999,2.295438766479492,51,19,13,80,2153
138,9709,-424.8820000000001,23.132196078431367,51,51,0.76941125,3.308199167251587,63,19,14,86,2177
139,9775,-328.73699999999997,22.913769230769226,39,32,0.7678437499999999,3.933776378631592,47,9,10,60,2193
140,9834,-453.55200000000013,27.243485714285708,35,36,0.7664425,2.52884840965271,45,11,3,52,2208
141,9892,-80.30399999999992,17.292399999999994,35,13,0.765065,2.087784767150879,42,9,7,56,2223
142,9943,-33.99299999999995,16.09429032258064,31,6,0.76385375,2.749866247177124,38,6,7,49,2235
143,10023,108.30599999999998,12.478533333333331,45,10,0.76195375,2.5077905654907227,51,13,16,74,2255
144,10103,-97.95700000000006,16.583847826086952,46,23,0.76005375,3.1607890129089355,55,15,10,71,2275
145,10165,53.21800000000013,13.70126829268292,41,10,0.75858125,2.775472640991211,48,11,3,54,2291
146,10225,-199.957,21.056272727272724,33,19,0.75715625,2.86167049407959,41,9,10,57,2306
147,10291,-222.0029999999999,20.862783783783776,37,24,0.75558875,3.2161312103271484,45,13,8,56,2322
148,10371,-289.19000000000005,20.405957446808504,47,36,0.75368875,2.4692461490631104,58,11,11,74,2342
149,10478,-122.71100000000003,17.176870370370366,54,34,0.7511475,2.675605297088623,64,27,16,98,2369
150,10541,-2.225999999999914,14.77474285714285,35,7,0.74965125,3.2589054107666016,44,8,11,57,2385
151,10620,-438.113,26.261131578947364,38,39,0.7477750000000001,3.1999974250793457,47,13,19,74,2405
152,10712,-56.268999999999984,15.792480769230764,52,27,0.74559,2.8853468894958496,62,24,6,80,2428
153,10795,-169.42300000000012,18.704023255813947,43,26,0.74361875,2.7605929374694824,54,14,15,71,2448
154,10851,-243.851,21.680885714285708,35,23,0.7422887499999999,3.1312568187713623,42,12,2,48,2462
155,10941,-318.783,20.85554901960784,51,43,0.74015125,3.203378200531006,62,13,15,82,2485
156,11015,-314.8070000000001,22.29941025641025,39,30,0.73839375,2.6564903259277344,49,12,13,67,2503
157,11065,-75.36300000000017,17.51011538461538,26,3,0.7372062500000001,2.780181884765625,35,5,10,49,2516
158,11141,-298.7159999999999,22.528102564102557,39,31,0.73540125,2.4826653003692627,46,18,12,70,2535
159,11207,-82.76400000000012,16.82929729729729,37,14,0.7338337500000001,3.063323974609375,48,10,8,60,2551
160,11284,-124.78999999999995,18.37088235294117,34,14,0.732005,3.2826876640319824,45,14,18,69,2571
